x, y, freq
20, 10, 10,
20, 11, 11,
20, 12, 11,
20, 13, 10,
20, 14, 10,
20, 15, 9,
20, 16, 9,
20, 17, 10,
20, 18, 9,
20, 19, 7,
20, 20, 4,
20, 21, 8,
20, 22, 8,
20, 23, 5,
21, 0, 3,
21, 1, 8,
21, 2, 2,
21, 3, 8,
21, 4, 9,
21, 5, 11,
21, 6, 9,
21, 7, 13,
21, 8, 13,
21, 9, 9,
21, 10, 9,
21, 11, 6,
21, 12, 6,
21, 13, 9,
21, 14, 9,
21, 15, 13,
21, 16, 13,
21, 17, 9,
21, 18, 11,
21, 19, 9,
21, 20, 8,
21, 21, 2,
21, 22, 8,
21, 23, 3,
22, 0, 2,
22, 1, 4,
22, 2, 8,
22, 3, 8,
22, 4, 7,
22, 5, 8,
22, 6, 8,
22, 7, 9,
22, 8, 15,
22, 9, 12,
22, 10, 14,
22, 11, 5,
22, 12, 5,
22, 13, 14,
22, 14, 12,
22, 15, 15,
22, 16, 9,
22, 17, 8,
22, 18, 8,
22, 19, 7,
22, 20, 8,
22, 21, 8,
22, 22, 4,
22, 23, 2,
23, 0, 8,
23, 1, 2,
23, 2, 3,
23, 3, 5,
23, 4, 9,
23, 5, 7,
23, 6, 10,
23, 7, 10,
23, 8, 11,
23, 9, 10,
23, 10, 7,
23, 11, 18,
23, 12, 18,
23, 13, 7,
23, 14, 10,
23, 15, 11,
23, 16, 10,
23, 17, 10,
23, 18, 7,
23, 19, 9,
23, 20, 5,
23, 21, 3,
23, 22, 2,
23, 23, 8,
