dx, dy, freq
13, -21, 8,
13, -20, 24,
13, -19, 22,
13, -18, 28,
13, -17, 18,
13, -16, 34,
13, -15, 28,
13, -14, 38,
13, -13, 44,
13, -12, 48,
13, -11, 44,
13, -10, 54,
13, -9, 58,
13, -8, 66,
13, -7, 80,
13, -6, 68,
13, -5, 74,
13, -4, 82,
13, -3, 74,
13, -2, 100,
13, -1, 102,
13, 1, 102,
13, 2, 100,
13, 3, 74,
13, 4, 82,
13, 5, 74,
13, 6, 68,
13, 7, 80,
13, 8, 66,
13, 9, 58,
13, 10, 54,
13, 11, 44,
13, 12, 48,
13, 13, 44,
13, 14, 38,
13, 15, 28,
13, 16, 34,
13, 17, 18,
13, 18, 28,
13, 19, 22,
13, 20, 24,
13, 21, 8,
13, 22, 4,
13, 23, 2,
14, -23, 2,
14, -22, 4,
14, -21, 6,
14, -20, 18,
14, -19, 20,
14, -18, 12,
14, -17, 28,
14, -16, 26,
14, -15, 46,
14, -14, 32,
14, -13, 38,
14, -12, 48,
14, -11, 40,
14, -10, 50,
14, -9, 48,
14, -8, 66,
14, -7, 64,
14, -6, 66,
14, -5, 76,
14, -4, 86,
14, -3, 58,
14, -2, 80,
14, -1, 86,
14, 1, 86,
14, 2, 80,
14, 3, 58,
14, 4, 86,
14, 5, 76,
14, 6, 66,
14, 7, 64,
14, 8, 66,
14, 9, 48,
14, 10, 50,
14, 11, 40,
14, 12, 48,
14, 13, 38,
14, 14, 32,
14, 15, 46,
14, 16, 26,
14, 17, 28,
14, 18, 12,
14, 19, 20,
14, 20, 18,
14, 21, 6,
14, 22, 4,
14, 23, 2,
15, -23, 2,
15, -22, 12,
15, -21, 4,
15, -20, 18,
15, -19, 16,
15, -18, 14,
15, -17, 24,
15, -16, 18,
15, -15, 24,
15, -14, 46,
15, -13, 28,
15, -12, 30,
15, -11, 60,
15, -10, 46,
15, -9, 48,
15, -8, 48,
15, -7, 64,
15, -6, 50,
15, -5, 56,
15, -4, 74,
15, -3, 82,
15, -2, 70,
15, -1, 66,
15, 1, 66,
15, 2, 70,
15, 3, 82,
15, 4, 74,
15, 5, 56,
15, 6, 50,
15, 7, 64,
15, 8, 48,
15, 9, 48,
15, 10, 46,
15, 11, 60,
15, 12, 30,
15, 13, 28,
15, 14, 46,
15, 15, 24,
15, 16, 18,
15, 17, 24,
15, 18, 14,
15, 19, 16,
15, 20, 18,
15, 21, 4,
15, 22, 12,
15, 23, 2,
16, -23, 2,
16, -22, 6,
16, -21, 6,
16, -20, 8,
16, -19, 8,
16, -18, 8,
16, -17, 14,
16, -16, 16,
16, -15, 18,
16, -14, 26,
16, -13, 34,
16, -12, 32,
16, -11, 38,
16, -10, 44,
16, -9, 58,
16, -8, 56,
16, -7, 40,
16, -6, 64,
16, -5, 42,
16, -4, 52,
16, -3, 68,
16, -2, 88,
16, -1, 72,
16, 1, 72,
16, 2, 88,
16, 3, 68,
16, 4, 52,
16, 5, 42,
16, 6, 64,
16, 7, 40,
16, 8, 56,
16, 9, 58,
16, 10, 44,
